chromatic_number,clique_number,max_independent_set,domination_number,clique_cover_number,target
94.0,94.0,4.0,4.0,4.0,0.0
98.0,98.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
92.0,92.0,2.0,2.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
92.0,92.0,4.0,3.0,4.0,0.0
95.0,95.0,3.0,3.0,4.0,0.0
98.0,98.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,4.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
91.0,91.0,4.0,4.0,4.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
94.0,94.0,3.0,2.0,3.0,0.0
90.0,90.0,5.0,4.0,6.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
98.0,98.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
93.0,93.0,2.0,2.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,2.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
92.0,92.0,4.0,3.0,4.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
89.0,89.0,5.0,5.0,5.0,0.0
92.0,92.0,4.0,3.0,4.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
87.0,87.0,4.0,3.0,4.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,4.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
91.0,91.0,3.0,3.0,4.0,0.0
92.0,92.0,4.0,4.0,5.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
91.0,91.0,5.0,5.0,6.0,0.0
90.0,90.0,3.0,2.0,3.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
94.0,94.0,4.0,4.0,4.0,0.0
94.0,94.0,3.0,2.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
96.0,96.0,3.0,3.0,4.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
98.0,98.0,2.0,2.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
89.0,89.0,2.0,2.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
89.0,89.0,2.0,2.0,2.0,0.0
92.0,92.0,2.0,2.0,3.0,0.0
94.0,94.0,4.0,4.0,4.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
97.0,97.0,2.0,1.0,2.0,0.0
89.0,89.0,4.0,4.0,4.0,0.0
85.0,85.0,5.0,4.0,5.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,4.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
94.0,94.0,3.0,3.0,4.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
87.0,87.0,3.0,3.0,4.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
94.0,94.0,3.0,3.0,4.0,0.0
93.0,93.0,4.0,3.0,4.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
91.0,91.0,2.0,2.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
93.0,93.0,5.0,5.0,5.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
96.0,96.0,4.0,4.0,4.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
91.0,91.0,4.0,4.0,5.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
91.0,91.0,3.0,2.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
90.0,90.0,4.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
95.0,95.0,4.0,4.0,5.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
92.0,92.0,3.0,3.0,4.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
95.0,95.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,2.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
87.0,87.0,2.0,2.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
89.0,89.0,2.0,2.0,3.0,0.0
90.0,90.0,3.0,2.0,3.0,0.0
91.0,91.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,4.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
92.0,92.0,4.0,3.0,4.0,0.0
91.0,91.0,4.0,4.0,5.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
92.0,92.0,3.0,2.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
91.0,91.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,1.0,2.0,0.0
91.0,91.0,4.0,4.0,4.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
94.0,94.0,4.0,3.0,4.0,0.0
90.0,90.0,4.0,3.0,4.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
94.0,94.0,3.0,2.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,2.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,4.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
88.0,88.0,3.0,3.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
89.0,89.0,5.0,5.0,5.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,4.0,4.0,0.0
91.0,91.0,4.0,4.0,4.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,4.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
90.0,90.0,2.0,2.0,3.0,0.0
95.0,95.0,2.0,2.0,3.0,0.0
94.0,94.0,2.0,2.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
89.0,89.0,3.0,3.0,4.0,0.0
90.0,90.0,3.0,3.0,4.0,0.0
91.0,91.0,3.0,3.0,4.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,1.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
90.0,90.0,4.0,4.0,4.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
91.0,91.0,2.0,2.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
89.0,89.0,3.0,3.0,4.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
89.0,89.0,2.0,2.0,2.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
91.0,91.0,2.0,2.0,2.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
92.0,92.0,5.0,5.0,5.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
92.0,92.0,4.0,4.0,4.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,2.0,3.0,0.0
91.0,91.0,4.0,3.0,4.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
98.0,98.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,1.0,2.0,0.0
95.0,95.0,3.0,2.0,3.0,0.0
88.0,88.0,4.0,4.0,4.0,0.0
89.0,89.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
95.0,95.0,3.0,3.0,4.0,0.0
91.0,91.0,4.0,4.0,4.0,0.0
89.0,89.0,3.0,3.0,4.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
94.0,94.0,4.0,4.0,4.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
99.0,99.0,2.0,1.0,2.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
98.0,98.0,3.0,3.0,3.0,0.0
93.0,93.0,4.0,4.0,4.0,0.0
94.0,94.0,3.0,3.0,4.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
98.0,98.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
91.0,91.0,2.0,2.0,2.0,0.0
88.0,88.0,4.0,4.0,4.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
92.0,92.0,3.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
90.0,90.0,2.0,2.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
89.0,89.0,5.0,5.0,5.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
92.0,92.0,5.0,5.0,5.0,0.0
88.0,88.0,2.0,2.0,3.0,0.0
95.0,95.0,3.0,2.0,3.0,0.0
90.0,90.0,4.0,4.0,4.0,0.0
92.0,92.0,3.0,2.0,3.0,0.0
92.0,92.0,5.0,4.0,5.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
94.0,94.0,4.0,4.0,4.0,0.0
88.0,88.0,3.0,3.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
91.0,91.0,2.0,2.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
89.0,89.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
91.0,91.0,4.0,3.0,4.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
91.0,91.0,5.0,5.0,5.0,0.0
91.0,91.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
95.0,95.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
91.0,91.0,2.0,2.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
90.0,90.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
96.0,96.0,2.0,2.0,2.0,0.0
97.0,97.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
90.0,90.0,5.0,5.0,6.0,0.0
97.0,97.0,2.0,2.0,2.0,0.0
94.0,94.0,2.0,2.0,2.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,2.0,3.0,0.0
95.0,95.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
92.0,92.0,3.0,3.0,3.0,0.0
94.0,94.0,3.0,3.0,3.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
93.0,93.0,3.0,3.0,4.0,0.0
96.0,96.0,4.0,4.0,4.0,0.0
93.0,93.0,2.0,2.0,2.0,0.0
96.0,96.0,2.0,2.0,3.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
95.0,95.0,4.0,4.0,5.0,0.0
95.0,95.0,4.0,4.0,4.0,0.0
98.0,98.0,2.0,2.0,3.0,0.0
96.0,96.0,3.0,3.0,3.0,0.0
92.0,92.0,2.0,2.0,2.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
91.0,91.0,3.0,3.0,4.0,0.0
93.0,93.0,3.0,3.0,3.0,0.0
